lineage_id,generation,diversity,entropy_norm,drift_norm,confidence,synthetic_ratio,accuracy,health_score,risk_level,future_accuracy_7,collapse_event_7d,future_accuracy_30,collapse_event_30d
0,0,1.0,1.0,0.0,0.6385815615926196,0.07127146962258571,0.9377202657508423,98.35308929003678,Low,0.917800865403784,0.0,0.8207117885729026,0.0
0,1,0.9963794719466934,0.9948870597237979,0.007089159313047359,0.6434945335071942,0.09545250834778043,0.9322626394803316,97.65119197396197,Low,0.9101905297186013,0.0,0.797512575802371,0.0
0,2,1.0,0.9852876751959263,0.016767826081207356,0.6497181920797499,0.10041618599605938,0.9330540121909807,97.28848368117812,Low,0.8963951200802531,0.0,0.7956579429931557,0.0
0,3,1.0,0.9846606356803359,0.02746252461024959,0.6475016244465859,0.10472281082750133,0.925355499985106,96.90036979130498,Low,0.9229662391451819,0.0,0.7911026987624685,0.0
0,4,1.0,0.979684886232563,0.03752883311893072,0.6563563012046865,0.10763905141578911,0.9197230119764664,96.46100015892456,Low,0.9102199060651509,0.0,0.7928239247381061,0.0
0,5,0.9863093323700148,0.9833688525365388,0.04813884779902451,0.6589066415423631,0.1129072805655862,0.9150477301601189,95.80736747527935,Low,0.9283046639948687,0.0,0.8009763172491222,0.0
0,6,0.9805736651508073,0.9861309487050558,0.052202557910279695,0.6641915707472322,0.12958619736189436,0.9124542841831562,95.41738480307342,Low,0.9120156416794796,0.0,0.7972088956700994,0.0
0,7,0.9637409332222333,0.9745406152444605,0.04916869539940406,0.678133173626909,0.13662845810684546,0.917800865403784,94.69309786977874,Low,0.9091054346884794,0.0,0.7919925087364518,0.0
0,8,0.9579338962379741,0.9550128044910564,0.05675078982185567,0.664690027241999,0.15751812058065182,0.9101905297186013,93.55599794295102,Low,0.9034578472931448,0.0,0.7638390350479036,0.0
0,9,0.9518977529419308,0.954572102051669,0.07577537734557917,0.6696646835204806,0.19261047420874955,0.8963951200802531,92.42554965175438,Low,0.9074111717815408,0.0,0.7524979083942237,0.0
0,10,0.9343150062113835,0.9492586295961639,0.07470652727466989,0.6800226690538779,0.20201143515576392,0.9229662391451819,92.0911646163723,Low,0.8994184362367681,0.0,0.7459889192768486,0.0
0,11,0.9327402684043621,0.9419566460532982,0.08163094176857415,0.6839476595889433,0.23488055725080692,0.9102199060651509,91.20299838656103,Low,0.8966643280081983,0.0,0.7316883391618072,0.0
0,12,0.931502589510058,0.9393110088274962,0.08376415492523002,0.6759323362863308,0.2422584779951254,0.9283046639948687,91.25455498745632,Low,0.8734425111754879,0.0,0.7272601977659582,0.0
0,13,0.9359922839370496,0.9340145843829728,0.08635939649995117,0.6732016972129238,0.2845885368776975,0.9120156416794796,90.537294454102,Low,0.8661315873943068,0.0,0.7075420572071813,0.0
